time,value
00:00,220.00
00:15,220.00
00:30,220.01
00:45,220.01
01:00,220.02
01:15,220.05
01:30,220.10
01:45,220.19
02:00,220.36
02:15,220.67
02:30,221.20
02:45,222.09
03:00,223.54
03:15,225.86
03:30,229.45
03:45,234.85
04:00,242.74
04:15,253.93
04:30,269.34
04:45,289.92
05:00,316.56
05:15,349.96
05:30,390.44
05:45,437.84
06:00,491.31
06:15,549.30
06:30,609.49
06:45,668.94
07:00,724.27
07:15,771.97
07:30,808.79
07:45,832.05
08:00,840.00
08:15,832.05
08:30,808.79
08:45,771.97
09:00,724.27
09:15,668.94
09:30,609.50
09:45,549.31
10:00,491.33
10:15,437.87
10:30,390.50
10:45,350.06
11:00,316.74
11:15,290.23
11:30,269.85
11:45,254.78
12:00,244.12
12:15,237.07
12:30,232.95
12:45,231.27
13:00,231.78
13:15,234.42
13:30,239.33
13:45,246.89
14:00,257.63
14:15,272.26
14:30,291.60
14:45,316.58
15:00,348.11
15:15,387.10
15:30,434.25
15:45,490.05
16:00,554.61
16:15,627.54
16:30,707.93
16:45,794.25
17:00,884.36
17:15,975.53
17:30,1064.61
17:45,1148.14
18:00,1222.59
18:15,1284.60
18:30,1331.23
18:45,1360.18
19:00,1370.00
19:15,1360.18
19:30,1331.23
19:45,1284.60
20:00,1222.59
20:15,1148.14
20:30,1064.61
20:45,975.53
21:00,884.36
21:15,794.25
21:30,707.93
21:45,627.54
22:00,554.60
22:15,490.05
22:30,434.25
22:45,387.09
23:00,348.09
23:15,316.53
23:30,291.50
23:45,272.07
