time,value
00:00,233.20
00:15,233.20
00:30,233.21
00:45,233.21
01:00,233.23
01:15,233.25
01:30,233.31
01:45,233.41
02:00,233.59
02:15,233.91
02:30,234.47
02:45,235.41
03:00,236.95
03:15,239.41
03:30,243.22
03:45,248.94
04:00,257.30
04:15,269.16
04:30,285.50
04:45,307.32
05:00,335.56
05:15,370.96
05:30,413.87
05:45,464.11
06:00,520.79
06:15,582.26
06:30,646.06
06:45,709.08
07:00,767.72
07:15,818.29
07:30,857.32
07:45,881.97
08:00,890.40
08:15,881.97
08:30,857.32
08:45,818.29
09:00,767.73
09:15,709.08
09:30,646.07
09:45,582.27
10:00,520.81
10:15,464.14
10:30,413.93
10:45,371.06
11:00,335.75
11:15,307.64
11:30,286.04
11:45,270.06
12:00,258.77
12:15,251.29
12:30,246.92
12:45,245.15
13:00,245.69
13:15,248.48
13:30,253.69
13:45,261.71
14:00,273.09
14:15,288.60
14:30,309.10
14:45,335.57
15:00,369.00
15:15,410.32
15:30,460.31
15:45,519.46
16:00,587.88
16:15,665.19
16:30,750.41
16:45,841.91
17:00,937.42
17:15,1034.06
17:30,1128.49
17:45,1217.03
18:00,1295.95
18:15,1361.68
18:30,1411.10
18:45,1441.79
19:00,1452.20
19:15,1441.79
19:30,1411.10
19:45,1361.68
20:00,1295.95
20:15,1217.03
20:30,1128.49
20:45,1034.06
21:00,937.42
21:15,841.91
21:30,750.41
21:45,665.19
22:00,587.88
22:15,519.46
22:30,460.30
22:45,410.31
23:00,368.97
23:15,335.52
23:30,308.99
23:45,288.39
