time,value
00:00,0.00
00:15,0.00
00:30,0.00
00:45,0.00
01:00,0.00
01:15,0.00
01:30,0.00
01:45,0.00
02:00,0.00
02:15,0.00
02:30,0.00
02:45,0.00
03:00,0.00
03:15,0.00
03:30,0.00
03:45,0.00
04:00,0.00
04:15,0.00
04:30,0.00
04:45,0.00
05:00,0.00
05:15,0.00
05:30,0.00
05:45,0.00
06:00,0.00
06:15,114.46
06:30,228.42
06:45,341.41
07:00,452.93
07:15,562.52
07:30,669.70
07:45,774.01
08:00,875.00
08:15,972.25
08:30,1065.33
08:45,1153.86
09:00,1237.44
09:15,1315.72
09:30,1388.37
09:45,1455.07
10:00,1515.54
10:15,1569.53
10:30,1616.79
10:45,1657.13
11:00,1690.37
11:15,1716.37
11:30,1735.03
11:45,1746.25
12:00,1750.00
12:15,1746.25
12:30,1735.03
12:45,1716.37
13:00,1690.37
13:15,1657.13
13:30,1616.79
13:45,1569.53
14:00,1515.54
14:15,1455.07
14:30,1388.37
14:45,1315.72
15:00,1237.44
15:15,1153.86
15:30,1065.33
15:45,972.25
16:00,875.00
16:15,774.01
16:30,669.70
16:45,562.52
17:00,452.93
17:15,341.41
17:30,228.42
17:45,114.46
18:00,0.00
18:15,0.00
18:30,0.00
18:45,0.00
19:00,0.00
19:15,0.00
19:30,0.00
19:45,0.00
20:00,0.00
20:15,0.00
20:30,0.00
20:45,0.00
21:00,0.00
21:15,0.00
21:30,0.00
21:45,0.00
22:00,0.00
22:15,0.00
22:30,0.00
22:45,0.00
23:00,0.00
23:15,0.00
23:30,0.00
23:45,0.00
