time,value
00:00,0.00
00:15,0.00
00:30,0.00
00:45,0.00
01:00,0.00
01:15,0.00
01:30,0.00
01:45,0.00
02:00,0.00
02:15,0.00
02:30,0.00
02:45,0.00
03:00,0.00
03:15,0.00
03:30,0.00
03:45,0.00
04:00,0.00
04:15,0.00
04:30,0.00
04:45,0.00
05:00,0.00
05:15,0.00
05:30,0.00
05:45,0.00
06:00,0.00
06:15,107.59
06:30,214.72
06:45,320.92
07:00,425.76
07:15,528.77
07:30,629.51
07:45,727.56
08:00,822.50
08:15,913.91
08:30,1001.41
08:45,1084.62
09:00,1163.19
09:15,1236.78
09:30,1305.07
09:45,1367.77
10:00,1424.61
10:15,1475.36
10:30,1519.78
10:45,1557.70
11:00,1588.95
11:15,1613.39
11:30,1630.93
11:45,1641.48
12:00,1645.00
12:15,1641.48
12:30,1630.93
12:45,1613.39
13:00,1588.95
13:15,1557.70
13:30,1519.78
13:45,1475.36
14:00,1424.61
14:15,1367.77
14:30,1305.07
14:45,1236.78
15:00,1163.19
15:15,1084.62
15:30,1001.41
15:45,913.91
16:00,822.50
16:15,727.56
16:30,629.51
16:45,528.77
17:00,425.76
17:15,320.92
17:30,214.72
17:45,107.59
18:00,0.00
18:15,0.00
18:30,0.00
18:45,0.00
19:00,0.00
19:15,0.00
19:30,0.00
19:45,0.00
20:00,0.00
20:15,0.00
20:30,0.00
20:45,0.00
21:00,0.00
21:15,0.00
21:30,0.00
21:45,0.00
22:00,0.00
22:15,0.00
22:30,0.00
22:45,0.00
23:00,0.00
23:15,0.00
23:30,0.00
23:45,0.00
