slot,interval_start_time,interval_end_time_from_file,grid_export_price_LKR_kWh,grid_export_dispatchable_price_LKR_kWh,grid_import_price_LKR_kWh
0,0:00,0:15,30.00168661,38.428,55.95522796
1,0:15,0:30,29.56612722,38.428,55.04957324
2,0:30,0:45,27.60843152,38.428,48.53515684
3,0:45,1:00,25.46700313,38.428,38.43750553
4,1:00,1:15,25.66014842,29.453,36.26567706
5,1:15,1:30,25.55405081,29.453,37.21194884
6,1:30,1:45,24.19254943,29.453,34.21014129
7,1:45,2:00,23.63832052,29.453,32.66625038
8,2:00,2:15,23.64070826,28.013,33.22571406
9,2:15,2:30,23.59397872,28.013,33.54744487
10,2:30,2:45,23.50265469,28.013,33.5786146
11,2:45,3:00,23.69801343,28.013,34.17900998
12,3:00,3:15,23.99705167,29.723,34.98929666
13,3:15,3:30,23.8746546,29.723,34.67152034
14,3:30,3:45,24.06335961,29.723,35.21560685
15,3:45,4:00,25.43012426,29.723,38.96502681
16,4:00,4:15,27.72735951,41.665,44.85022906
17,4:15,4:30,30.19862201,41.665,49.98111298
18,4:30,4:45,31.62421647,41.665,51.13251535
19,4:45,5:00,32.62171934,41.665,50.58921601
20,5:00,5:15,34.74979002,40.514,52.77470416
21,5:15,5:30,35.5828713,40.514,52.4088448
22,5:30,5:45,33.70319823,40.514,46.54841632
23,5:45,6:00,31.14585038,40.514,40.52439741
24,6:00,6:15,28.8761007,29.696,36.30936904
25,6:15,6:30,27.27487976,29.696,33.95065389
26,6:30,6:45,25.94790026,29.696,32.66322764
27,6:45,7:00,24.53643384,29.696,31.39630964
28,7:00,7:15,23.50607621,25.957,30.96603107
29,7:15,7:30,22.74580377,25.957,31.09484972
30,7:30,7:45,22.12005664,25.957,30.9055322
31,7:45,8:00,21.71545919,25.957,30.54129393
32,8:00,8:15,21.39153329,21.972,30.14151707
33,8:15,8:30,21.02477429,21.972,29.59703718
34,8:30,8:45,20.57820832,21.972,29.00678621
35,8:45,9:00,19.84026948,21.972,27.77956931
36,9:00,9:15,18.71380469,18.054,25.41755137
37,9:15,9:30,17.56907658,18.054,23.22935927
38,9:30,9:45,16.67649695,18.054,22.02757208
39,9:45,10:00,15.82149117,18.054,21.01432299
40,10:00,10:15,14.80222799,14.131,19.60900412
41,10:15,10:30,13.74584709,14.131,18.09063972
42,10:30,10:45,12.86246351,14.131,16.88979495
43,10:45,11:00,12.55216915,14.131,16.4416861
44,11:00,11:15,12.69408625,12.895,16.5984599
45,11:15,11:30,12.61708362,12.895,16.51339619
46,11:30,11:45,12.26509672,12.895,16.15588054
47,11:45,12:00,11.62811845,12.895,15.78166091
48,12:00,12:15,10.98088078,11.194,15.34788386
49,12:15,12:30,10.53950128,11.194,15.09287012
50,12:30,12:45,10.32479584,11.194,15.05825046
51,12:45,13:00,10.15062434,11.194,15.04161839
52,13:00,13:15,10,12.887,15
53,13:15,13:30,10.42037491,12.887,15.17742181
54,13:30,13:45,12.51111354,12.887,17.02907384
55,13:45,14:00,15.59967365,12.887,21.43996837
56,14:00,14:15,18.68925222,25.755,27.80377146
57,14:15,14:30,22.12790129,25.755,34.3085038
58,14:30,14:45,25.55416568,25.755,40.96392876
59,14:45,15:00,28.08698573,25.755,48.44685576
60,15:00,15:15,28.5033212,35.826,51.61781744
61,15:15,15:30,29.09086099,35.826,55.87187006
62,15:30,15:45,32.49343432,35.826,65.79773554
63,15:45,16:00,35.51360333,35.826,70.32079247
64,16:00,16:15,36.69317132,43.057,73.28706365
65,16:15,16:30,37.41470246,43.057,79.26270295
66,16:30,16:45,37.65802683,43.057,78.81353094
67,16:45,17:00,37.29244381,43.057,72.16723795
68,17:00,17:15,36.46120286,60.428,66.68950645
69,17:15,17:30,36.7847079,60.428,66.68629468
70,17:30,17:45,37.75670183,60.428,68.15361222
71,17:45,18:00,37.43626689,60.428,66.38238371
72,18:00,18:15,37.9980567,68.089,68.0985224
73,18:15,18:30,41.20189818,68.089,77.16595205
74,18:30,18:45,44.50566418,68.089,85
75,18:45,19:00,45,68.089,84.25480449
76,19:00,19:15,42.51858515,62.050,75.61876485
77,19:15,19:30,39.24945273,62.050,65.82746538
78,19:30,19:45,37.69319104,62.050,62.0600337
79,19:45,20:00,37.42985004,62.050,62.44273977
80,20:00,20:15,37.17993558,59.985,63.04894966
81,20:15,20:30,36.9334039,59.985,63.73777173
82,20:30,20:45,36.696667,59.985,64.37450781
83,20:45,21:00,36.53517651,59.985,65.12109055
84,21:00,21:15,36.3523141,62.922,65.92627374
85,21:15,21:30,36.09653595,62.922,67.00529427
86,21:30,21:45,35.88773443,62.922,68.35017706
87,21:45,22:00,35.73432271,62.922,69.39566643
88,22:00,22:15,35.49682525,64.873,70.31336402
89,22:15,22:30,35.14696153,64.873,70.95015645
90,22:30,22:45,34.71873152,64.873,70.56780091
91,22:45,23:00,34.07233367,64.873,68.84880923
92,23:00,23:15,33.28415669,54.801,66.44882604
93,23:15,23:30,32.51881128,54.801,64.20448867
94,23:30,23:45,31.64696984,54.801,61.54091109
95,23:45,24:00:00,30.94719676,54.801,59.18281978
